,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
0,32.0,0.0001,1e-06,6.0,6.0,0.27779698371887207,0.08585691452026367,0.3180540329975857,0.31813956335235816,0.0002921383366126149
1,32.0,0.0001,1e-07,7.0,8.0,0.3329050540924072,0.10968399047851562,0.3179250715796179,0.31791220422592453,2.5989907425307775e-05
2,32.0,0.0001,1e-08,9.0,10.0,0.42589712142944336,0.12879276275634766,0.3178978666061542,0.3178882504913744,2.8126676550550783e-05
3,32.0,0.0001,1e-09,9.0,12.0,0.4209260940551758,0.1474742889404297,0.31789787387972707,0.3178865632787977,2.6143063125155568e-05
4,32.0,0.0001,1e-10,10.0,13.0,0.4655458927154541,0.18570423126220703,0.31789783027109614,0.31788656045513874,2.613988527857757e-05
5,32.0,1e-05,1e-06,8.0,9.0,0.3804349899291992,0.1150200366973877,0.21348727791647373,0.219168372071696,0.01088686198258637
6,32.0,1e-05,1e-07,11.0,14.0,0.5084240436553955,0.17089486122131348,0.21022176574152113,0.21019879776528513,8.038051665859437e-05
7,32.0,1e-05,1e-08,13.0,20.0,0.5986502170562744,0.2392733097076416,0.210064664471638,0.21005268676515404,0.00010016768608410609
8,32.0,1e-05,1e-09,15.0,26.0,0.7049000263214111,0.29561591148376465,0.2100618422136798,0.210043021627549,5.954533528284755e-05
9,32.0,1e-05,1e-10,17.0,31.0,0.7812738418579102,0.34829068183898926,0.21006212510203456,0.2100431195909721,5.8776221598903304e-05
10,32.0,1e-06,1e-06,9.0,12.0,0.4180490970611572,0.14571595191955566,0.14783243368213367,0.15591173422047389,0.022911304622387357
11,32.0,1e-06,1e-07,13.0,26.0,0.6032121181488037,0.31007909774780273,0.1386327988928007,0.1385711197616928,0.014678568607266854
12,32.0,1e-06,1e-08,20.0,41.0,0.941338062286377,0.4521191120147705,0.13983051885728104,0.13994032785129254,0.000791029972078006
13,32.0,1e-06,1e-09,28.0,57.0,1.2859630584716797,0.6136019229888916,0.14010836908461885,0.14007400790360422,0.00015490075924103874
14,32.0,1e-06,1e-10,33.0,68.0,1.5231308937072754,0.7309191226959229,0.1400962443719078,0.14006626956844645,0.00014520442456617333
15,32.0,1e-07,1e-06,9.0,12.0,0.41736412048339844,0.15402698516845703,0.14142648270290858,0.14957995616858005,0.03327076887906121
16,32.0,1e-07,1e-07,18.0,46.0,0.825974702835083,0.4882650375366211,0.1569707151617599,0.21575577225320258,0.09843710486883582
17,32.0,1e-07,1e-08,41.0,94.0,1.8901879787445068,0.9853372573852539,0.24597804422976255,0.2470375391707305,0.005102972977921235
18,32.0,1e-07,1e-09,57.0,140.0,2.7160451412200928,1.5122458934783936,0.24743060999667627,0.24757741240245074,0.000695861083641126
19,32.0,1e-07,1e-10,73.0,174.0,3.5040090084075928,1.8017382621765137,0.247529852569585,0.24762543159734687,0.0002608761258137042
20,32.0,1e-08,1e-06,9.0,12.0,0.4295790195465088,0.14760804176330566,0.14106358113285844,0.14904345988951753,0.03462247545481544
21,32.0,1e-08,1e-07,52.0,100.0,2.4631731510162354,1.0918676853179932,0.5898840962811143,0.6016330861173828,0.018354154560345066
22,32.0,1e-08,1e-08,79.0,192.0,3.7001211643218994,2.0192646980285645,0.7276420241653233,0.7342804679818085,0.021831154821805043
23,32.0,1e-08,1e-09,133.0,325.0,6.18685507774353,3.381901979446411,0.7428136163278717,0.7432235311130372,0.0006050402229619736
24,32.0,1e-08,1e-10,177.0,483.0,8.166960954666138,4.979639053344727,0.7429990057265415,0.7434010209901738,0.0007382387448826308
25,64.0,0.0001,1e-06,6.0,6.0,1.9972031116485596,0.39357590675354004,0.3282779053294776,0.32832666643065433,0.0001810600198435584
26,64.0,0.0001,1e-07,7.0,8.0,2.373396873474121,0.4509398937225342,0.3281593626782965,0.3281490185876086,2.3120824007596374e-05
27,64.0,0.0001,1e-08,9.0,10.0,2.924461841583252,0.5537509918212891,0.32813139535234515,0.32812475575263184,2.511384682624264e-05
28,64.0,0.0001,1e-09,9.0,12.0,2.955564022064209,0.5553858280181885,0.3281314350680178,0.3281226533912986,2.3154918921049393e-05
29,64.0,0.0001,1e-10,10.0,13.0,3.2768988609313965,0.640068769454956,0.32813134680849587,0.3281226303785889,2.3144177730647193e-05
30,64.0,1e-05,1e-06,8.0,9.0,2.6169350147247314,0.4637320041656494,0.2365053824054459,0.24181731637535436,0.010095896956674443
31,64.0,1e-05,1e-07,11.0,14.0,3.5695159435272217,0.632763147354126,0.23273077817753896,0.23270791096522592,8.697522234211497e-05
32,64.0,1e-05,1e-08,13.0,20.0,4.246200084686279,0.8423988819122314,0.2325132476521992,0.23251423017660072,9.532201024216536e-05
33,64.0,1e-05,1e-09,15.0,26.0,4.890493869781494,1.0415868759155273,0.23250078424778536,0.23248266280963673,5.514976367246165e-05
34,64.0,1e-05,1e-10,17.0,29.0,5.5364038944244385,1.1741788387298584,0.2324995293958442,0.2324824848696439,5.384946650338724e-05
35,64.0,1e-06,1e-06,9.0,12.0,2.9346609115600586,0.5693619251251221,0.16712526107164605,0.18083858695707822,0.03285604944631794
36,64.0,1e-06,1e-07,13.0,26.0,4.242480039596558,1.0508360862731934,0.15519609667331635,0.1498295530617588,0.015577317293986767
37,64.0,1e-06,1e-08,20.0,41.0,6.569814920425415,1.8017630577087402,0.14897715210066445,0.14898434976922484,0.0010044876254553634
38,64.0,1e-06,1e-09,28.0,55.0,9.130090951919556,2.0743250846862793,0.1490720821642995,0.14902619624335986,0.00015114270124158587
39,64.0,1e-06,1e-10,33.0,69.0,10.768853902816772,2.5554609298706055,0.14906708229801993,0.14902128123700456,0.00014965945372986546
40,64.0,1e-07,1e-06,9.0,12.0,2.9551401138305664,0.5893669128417969,0.1585025280362092,0.17421211182900648,0.04815611424835902
41,64.0,1e-07,1e-07,18.0,31.0,5.885392189025879,1.2741801738739014,0.13607762923977115,0.13564959519619071,0.0056050970976715235
42,64.0,1e-07,1e-08,43.0,93.0,14.657901048660278,3.298539876937866,0.18905781316371284,0.1895569166234181,0.002359997255340255
43,64.0,1e-07,1e-09,61.0,138.0,20.066828966140747,5.065528154373169,0.1905985398346475,0.19063799737236695,0.00028427052836762714
44,64.0,1e-07,1e-10,79.0,186.0,26.28245186805725,6.632727861404419,0.19068188711586545,0.19070595488606412,0.00024333939828498122
45,64.0,1e-08,1e-06,9.0,12.0,2.94834303855896,0.5525808334350586,0.1578747735642253,0.17360336384038993,0.05015201392778622
46,64.0,1e-08,1e-07,18.0,78.0,5.880536079406738,2.8191018104553223,0.13812185733719012,0.39353770783938075,0.3511808588737311
47,64.0,1e-08,1e-08,99.0,245.0,32.376770973205566,8.340101957321167,0.6770582801649663,0.6826860448365151,0.021766556509662836
48,64.0,1e-08,1e-09,163.0,392.0,53.3735249042511,12.744204998016357,0.6871627330810905,0.6874795576562928,0.0024436917620966826
49,64.0,1e-08,1e-10,207.0,572.0,67.89613723754883,18.534892082214355,0.6873796740023443,0.6875807766416056,0.0008127754386986899
50,128.0,0.0001,1e-06,6.0,6.0,16.392728090286255,2.2069599628448486,0.3233074654926944,0.32332543237672745,9.112759972102194e-05
51,128.0,0.0001,1e-07,7.0,8.0,18.850396156311035,2.50982928276062,0.3231954585430266,0.3231881877217856,1.887646066921903e-05
52,128.0,0.0001,1e-08,9.0,9.0,24.26967692375183,2.6584508419036865,0.32316792839019626,0.3231646490447902,2.1833787576283e-05
53,128.0,0.0001,1e-09,9.0,12.0,24.31697988510132,3.1046361923217773,0.32316791228459274,0.3231621584477752,1.9015255680697704e-05
54,128.0,0.0001,1e-10,10.0,13.0,26.962143898010254,3.2650671005249023,0.3231678659299257,0.3231621452830802,1.9013501882472267e-05
55,128.0,1e-05,1e-06,8.0,9.0,21.53244423866272,2.6499791145324707,0.2506993021956419,0.2550377405814629,0.008410379121906668
56,128.0,1e-05,1e-07,11.0,14.0,29.60395073890686,3.424194812774658,0.24683396068439611,0.246828536420289,0.00012274599473144747
57,128.0,1e-05,1e-08,13.0,20.0,35.28204607963562,4.360235929489136,0.24661226591253177,0.24661652988685878,7.93254505015175e-05
58,128.0,1e-05,1e-09,15.0,24.0,40.70470881462097,4.928763151168823,0.24659411619529356,0.2465791038026264,4.533769153695257e-05
59,128.0,1e-05,1e-10,18.0,30.0,48.71589922904968,5.821215867996216,0.24659201276786935,0.2465776394304951,4.540015963881841e-05
60,128.0,1e-06,1e-06,9.0,12.0,24.39960789680481,3.1283369064331055,0.18464600385703162,0.1994360949622734,0.03330189286695434
61,128.0,1e-06,1e-07,13.0,26.0,35.27088904380798,5.2412450313568115,0.17014802506954188,0.16272994313816322,0.015488931389941094
62,128.0,1e-06,1e-08,20.0,41.0,54.25358486175537,7.595699071884155,0.16072871076510997,0.16054159444131375,0.0008899167584559194
63,128.0,1e-06,1e-09,28.0,56.0,75.98452496528625,9.745230197906494,0.16055410122300043,0.16049904574396773,0.00015516471424703002
64,128.0,1e-06,1e-10,32.0,68.0,86.75865602493286,11.61850905418396,0.16056023238292733,0.1605068065387492,0.0001522627643053823
65,128.0,1e-07,1e-06,9.0,12.0,24.39624810218811,3.1038730144500732,0.17468651752214392,0.19316661432256557,0.05101604899111461
66,128.0,1e-07,1e-07,17.0,32.0,46.020506143569946,6.119822263717651,0.1367588338291971,0.1333341603383893,0.01676487179789406
67,128.0,1e-07,1e-08,44.0,74.0,119.48937511444092,12.448683738708496,0.1459988766040443,0.14475066962652786,0.004694472399584256
68,128.0,1e-07,1e-09,62.0,131.0,168.30376815795898,20.9862380027771,0.14713296111922877,0.1471260845753715,0.0002614136364867876
69,128.0,1e-07,1e-10,76.0,184.0,206.22952008247375,29.16463804244995,0.14721583794139298,0.14721538391930528,0.00027539013749162977
70,128.0,1e-08,1e-06,9.0,12.0,24.353130102157593,3.162712812423706,0.17385566817602593,0.1925724839139103,0.05335698240724237
71,128.0,1e-08,1e-07,18.0,32.0,48.4585120677948,6.131433010101318,0.13289372686993897,0.13216533100039082,0.005814544933262645
72,128.0,1e-08,1e-08,88.0,216.0,235.72696709632874,33.74303317070007,0.4651675766344567,0.47935860565197214,0.03484416700580042
73,128.0,1e-08,1e-09,145.0,365.0,393.99346804618835,56.26084899902344,0.4863692033569531,0.4871486440577259,0.007538141056036483
74,128.0,1e-08,1e-10,216.0,510.0,582.0095300674438,78.00652003288269,0.487158892924089,0.4872564234150834,0.00033175404970748717
75,256.0,0.0001,1e-06,6.0,6.0,200.79165196418762,19.709118366241455,0.3175520603041319,0.3175591066356513,5.8558243554248456e-05
76,256.0,0.0001,1e-07,7.0,8.0,230.25996589660645,20.706055164337158,0.3174335522765923,0.3174276181719038,1.679915442894806e-05
77,256.0,0.0001,1e-08,8.0,9.0,261.13957810401917,21.84554696083069,0.31741035301358933,0.3174058108371653,1.8589369583189594e-05
78,256.0,0.0001,1e-09,9.0,12.0,299.0597710609436,23.895525217056274,0.31740798897945705,0.3174034291001525,1.6971993808388682e-05
79,256.0,0.0001,1e-10,10.0,13.0,329.67304706573486,24.36007308959961,0.3174079371494127,0.3174033979444583,1.6968751870401063e-05
80,256.0,1e-05,1e-06,8.0,9.0,263.3815281391144,21.806148290634155,0.25562731461012067,0.25854547200314354,0.006017098650341056
81,256.0,1e-05,1e-07,11.0,13.0,364.85297107696533,24.579041719436646,0.2520291314706942,0.25231250381347387,0.0008413014233107395
82,256.0,1e-05,1e-08,13.0,19.0,428.0492789745331,28.44066309928894,0.25180660589379955,0.25180356872347626,5.239119602533212e-05
83,256.0,1e-05,1e-09,16.0,25.0,529.9049909114838,32.19997596740723,0.2517759671538048,0.25176346824219575,4.2313675963929694e-05
84,256.0,1e-05,1e-10,17.0,30.0,559.5995221138,35.89971995353699,0.2517735163829018,0.2517624259550078,4.178470822831454e-05
85,256.0,1e-06,1e-06,9.0,12.0,299.36912393569946,23.86486291885376,0.19603992006946885,0.20010641209134386,0.010815368057479369
86,256.0,1e-06,1e-07,13.0,25.0,426.79103088378906,32.2439820766449,0.17939838739970734,0.17329314119414077,0.01196511627508699
87,256.0,1e-06,1e-08,20.0,40.0,660.0982890129089,42.80979514122009,0.17069358123098285,0.17052216339225498,0.0004361183651432882
88,256.0,1e-06,1e-09,29.0,54.0,960.3375718593597,52.011829137802124,0.170342261628019,0.17030560332605926,0.00016123278424511438
89,256.0,1e-06,1e-10,34.0,67.0,1124.707134962082,60.584818840026855,0.17033732832722562,0.17029393385461244,0.0001404516471703521
90,256.0,1e-07,1e-06,9.0,12.0,295.82088589668274,23.709879875183105,0.1865674824335851,0.19283783380675693,0.021809033472430038
91,256.0,1e-07,1e-07,17.0,30.0,562.0922360420227,35.825931787490845,0.14372693133111125,0.141935049526286,0.004924542337733716
92,256.0,1e-07,1e-08,44.0,76.0,1452.8736689090729,66.63813781738281,0.12839032772884756,0.1284364259652665,0.0006654555097178734
93,256.0,1e-07,1e-09,64.0,120.0,2111.8484637737274,96.06535792350769,0.12967383006586805,0.12966346600526715,0.0003100845628280062
94,256.0,1e-07,1e-10,75.0,161.0,2479.414222717285,123.33452796936035,0.1297314036985731,0.12971276343964505,0.00023696267734691834
95,256.0,1e-08,1e-06,9.0,12.0,296.46739387512207,23.697692155838013,0.18574311088224163,0.1921828391279428,0.02340629525828248
96,256.0,1e-08,1e-07,18.0,31.0,597.5181770324707,36.7565860748291,0.13689678963622837,0.13528999647972736,0.005498539704496391
97,256.0,1e-08,1e-08,90.0,193.0,2975.7998208999634,145.3504979610443,0.2732845867041962,0.2765486535347125,0.006688367476045439
98,256.0,1e-08,1e-09,134.0,374.0,4436.016855955124,267.1163909435272,0.2907456886272374,0.29133114903010915,0.00514775160146266
99,256.0,1e-08,1e-10,197.0,469.0,6506.386297941208,329.64190912246704,0.2913598453112985,0.2914148689378002,0.0003256928787549126
